gap_id,gap_length,season,is_high_chl_event,n_days
L07_20190617,7,JJA,False,7
L07_20190703,7,JJA,False,7
L07_20190711,7,JJA,False,7
L07_20190730,7,JJA,False,7
L07_20191023,7,SON,True,7
L07_20191113,7,SON,True,7
L07_20191124,7,SON,False,7
L07_20200202,7,DJF,False,7
L07_20201028,7,SON,True,7
L07_20201127,7,SON,False,7
L07_20201216,7,DJF,False,7
L07_20210105,7,DJF,True,7
L07_20210312,7,MAM,False,7
L07_20210327,7,MAM,False,7
L07_20210425,7,MAM,False,7
L07_20210510,7,MAM,False,7
L07_20210519,7,MAM,False,7
L07_20210619,7,JJA,False,7
L07_20210719,7,JJA,False,7
L07_20210905,7,SON,False,7
L07_20210922,7,SON,False,7
L07_20211001,7,SON,True,7
L07_20211031,7,SON,False,7
L07_20211213,7,DJF,False,7
L07_20220204,7,DJF,False,7
L07_20220213,7,DJF,False,7
L07_20220402,7,MAM,True,7
L07_20220501,7,MAM,False,7
L07_20220609,7,JJA,False,7
L07_20220629,7,JJA,False,7
L07_20221101,7,SON,False,7
L07_20221116,7,SON,False,7
L07_20230207,7,DJF,False,7
L07_20230228,7,MAM,False,7
L07_20230317,7,MAM,False,7
L07_20230420,7,MAM,False,7
L07_20230501,7,MAM,False,7
L07_20230511,7,MAM,False,7
L07_20230602,7,JJA,False,7
L07_20230620,7,JJA,False,7
L07_20230630,7,JJA,False,7
L07_20230925,7,SON,False,7
L07_20231010,7,SON,True,7
L07_20240115,7,DJF,False,7
L07_20240127,7,DJF,False,7
L07_20240213,7,DJF,False,7
L07_20240221,7,DJF,False,7
L07_20240309,7,MAM,False,7
L07_20240523,7,MAM,False,7
L07_20240718,7,JJA,False,7
L07_20240902,7,SON,False,7
L07_20241002,7,SON,True,7
L07_20241023,7,SON,True,7
L07_20241030,7,SON,True,7
L07_20241113,7,SON,True,7
L07_20241122,7,SON,False,7
L07_20241206,7,DJF,False,7
L07_20250127,7,DJF,False,7
L07_20250417,7,MAM,False,7
L07_20250825,7,JJA,False,7
L07_20250916,7,SON,False,7
L07_20251018,7,SON,True,7
L07_20251115,7,SON,False,7
L07_20251225,7,DJF,False,7
L07_20260118,7,DJF,True,7
L07_20260201,7,DJF,True,7
L07_20260315,7,MAM,False,7
L07_20260403,7,MAM,False,7
L07_20260417,7,MAM,False,7
L07_20260502,7,MAM,True,7
L14_20150830,14,SON,False,14
L14_20150922,14,SON,True,14
L14_20151021,14,SON,False,14
L14_20160209,14,DJF,False,14
L14_20160223,14,DJF,False,14
L14_20160311,14,MAM,False,14
L14_20160411,14,MAM,False,14
L14_20160426,14,MAM,False,14
L14_20160515,14,MAM,False,14
L14_20160531,14,JJA,False,14
L14_20160704,14,JJA,False,14
L14_20170216,14,DJF,False,14
L14_20170411,14,MAM,True,14
L14_20180220,14,DJF,False,14
L14_20181102,14,SON,False,14
L14_20181128,14,DJF,True,14
L14_20181222,14,DJF,False,14
L14_20190203,14,DJF,True,14
L14_20190524,14,MAM,False,14
L14_20190617,14,JJA,False,14
L14_20190709,14,JJA,False,14
L14_20190727,14,JJA,False,14
L14_20191107,14,SON,True,14
L14_20191129,14,DJF,True,14
L14_20200122,14,DJF,False,14
L14_20201106,14,SON,False,14
L14_20201129,14,DJF,False,14
L14_20201217,14,DJF,False,14
L14_20210110,14,DJF,True,14
L14_20210126,14,DJF,True,14
L14_20210221,14,DJF,False,14
L14_20210312,14,MAM,False,14
L14_20210326,14,MAM,False,14
L14_20210502,14,MAM,False,14
L14_20210528,14,JJA,True,14
L14_20210616,14,JJA,False,14
L14_20210702,14,JJA,False,14
L14_20210720,14,JJA,False,14
L14_20210904,14,SON,False,14
L14_20210918,14,SON,False,14
L14_20211104,14,SON,False,14
L14_20211125,14,DJF,False,14
L14_20211213,14,DJF,False,14
L14_20220109,14,DJF,False,14
L14_20220204,14,DJF,False,14
L14_20220312,14,MAM,True,14
L14_20220326,14,MAM,True,14
L14_20220419,14,MAM,False,14
L14_20220526,14,JJA,False,14
L14_20220621,14,JJA,False,14
L14_20220713,14,JJA,False,14
L14_20221016,14,SON,True,14
L14_20221105,14,SON,False,14
L14_20221122,14,SON,True,14
L14_20230108,14,DJF,False,14
L14_20230204,14,DJF,False,14
L14_20230226,14,MAM,False,14
L14_20230313,14,MAM,False,14
L14_20230409,14,MAM,False,14
L14_20230501,14,MAM,False,14
L14_20230523,14,MAM,False,14
L14_20230606,14,JJA,False,14
L14_20230622,14,JJA,False,14
L14_20230910,14,SON,False,14
L14_20230926,14,SON,False,14
L14_20231010,14,SON,True,14
L14_20231027,14,SON,False,14
L14_20231211,14,DJF,False,14
L14_20240103,14,DJF,False,14
L14_20240212,14,DJF,False,14
L14_20240227,14,MAM,False,14
L14_20240531,14,JJA,False,14
L14_20240617,14,JJA,False,14
L14_20240701,14,JJA,False,14
L14_20240716,14,JJA,False,14
L14_20240824,14,JJA,True,14
L14_20240914,14,SON,True,14
L14_20240928,14,SON,True,14
L14_20241025,14,SON,True,14
L14_20241114,14,SON,False,14
L14_20241212,14,DJF,False,14
L14_20250104,14,DJF,False,14
L14_20250201,14,DJF,False,14
L14_20250411,14,MAM,False,14
L14_20250426,14,MAM,False,14
L14_20250601,14,JJA,False,14
L14_20250617,14,JJA,False,14
L14_20250721,14,JJA,False,14
L14_20250808,14,JJA,False,14
L14_20250901,14,SON,True,14
L14_20250927,14,SON,True,14
L14_20251011,14,SON,True,14
L14_20251101,14,SON,False,14
L14_20251116,14,SON,True,14
L14_20251209,14,DJF,False,14
L14_20251230,14,DJF,True,14
L14_20260126,14,DJF,True,14
L14_20260215,14,DJF,True,14
L14_20260315,14,MAM,True,14
L14_20260409,14,MAM,False,14
L30_20150917,30,SON,True,30
L30_20160303,30,MAM,False,30
L30_20160408,30,MAM,False,30
L30_20160508,30,MAM,False,30
L30_20170209,30,DJF,False,30
L30_20170404,30,MAM,True,30
L30_20181114,30,SON,True,30
L30_20190121,30,DJF,True,30
L30_20190520,30,JJA,False,30
L30_20190619,30,JJA,False,30
L30_20190721,30,JJA,False,30
L30_20191018,30,SON,True,30
L30_20191123,30,DJF,True,30
L30_20201104,30,SON,False,30
L30_20201204,30,DJF,True,30
L30_20210122,30,DJF,True,30
L30_20210225,30,MAM,False,30
L30_20210505,30,MAM,True,30
L30_20210614,30,JJA,False,30
L30_20210910,30,SON,True,30
L30_20211109,30,SON,False,30
L30_20211214,30,DJF,False,30
L30_20220214,30,DJF,True,30
L30_20220416,30,MAM,False,30
L30_20220524,30,JJA,True,30
L30_20220626,30,JJA,True,30
L30_20221030,30,SON,False,30
L30_20230108,30,DJF,False,30
L30_20230209,30,DJF,True,30
L30_20230317,30,MAM,False,30
L30_20230421,30,MAM,True,30
L30_20230530,30,JJA,False,30
L30_20230912,30,SON,True,30
L30_20231017,30,SON,True,30
L30_20231219,30,DJF,False,30
L30_20240211,30,DJF,False,30
L30_20240514,30,MAM,True,30
L30_20240630,30,JJA,False,30
L30_20240919,30,SON,True,30
L30_20241116,30,SON,True,30
L30_20241229,30,DJF,False,30
L30_20250202,30,DJF,False,30
L30_20250418,30,MAM,False,30
L30_20250604,30,JJA,False,30
L30_20250724,30,JJA,False,30
L30_20250824,30,SON,True,30
L30_20251016,30,SON,True,30
L30_20251210,30,DJF,False,30
L30_20260201,30,DJF,True,30
L30_20260321,30,MAM,True,30
