gap_id,start_date,end_date,length_days,gap_class,seasons,year_start,year_end,pre_edge_available,post_edge_available,interpolation_admissible,gap_edge_features_admissible,nearest_val_lengths,extrapolation_beyond_validation,notes
REAL_L001_20161218,2016-12-18,2016-12-18,1,short,DJF,2016,2016,True,True,True,True,1,no,
REAL_L001_20161225,2016-12-25,2016-12-25,1,short,DJF,2016,2016,True,True,True,True,1,no,
REAL_L001_20170101,2017-01-01,2017-01-01,1,short,DJF,2017,2017,True,True,True,True,1,no,
REAL_L031_20170104,2017-01-04,2017-02-08,36,long,DJF,2017,2017,True,True,True,True,30–?,yes,
REAL_L001_20170311,2017-03-11,2017-03-11,1,short,MAM,2017,2017,True,True,True,True,1,no,
REAL_L001_20170318,2017-03-18,2017-03-19,2,short,MAM,2017,2017,True,True,True,True,1–3,interpolation_within_range,
REAL_L001_20170325,2017-03-25,2017-03-26,2,short,MAM,2017,2017,True,True,True,True,1–3,interpolation_within_range,
REAL_L001_20170401,2017-04-01,2017-04-01,1,short,MAM,2017,2017,True,True,True,True,1,no,
REAL_L001_20170505,2017-05-05,2017-05-05,1,short,MAM,2017,2017,True,True,True,True,1,no,
REAL_L001_20170510,2017-05-10,2017-05-15,6,short,MAM,2017,2017,True,True,True,True,3–7,interpolation_within_range,
REAL_L001_20170517,2017-05-17,2017-05-17,1,short,MAM,2017,2017,True,True,True,True,1,no,
REAL_L001_20170524,2017-05-24,2017-05-24,1,short,MAM,2017,2017,True,True,True,True,1,no,
REAL_L001_20170531,2017-05-31,2017-05-31,1,short,MAM,2017,2017,True,True,True,True,1,no,
REAL_L001_20170607,2017-06-07,2017-06-07,1,short,JJA,2017,2017,True,True,True,True,1,no,
REAL_L001_20170614,2017-06-14,2017-06-14,1,short,JJA,2017,2017,True,True,True,True,1,no,
REAL_L001_20170621,2017-06-21,2017-06-21,1,short,JJA,2017,2017,True,True,True,True,1,no,
REAL_L001_20170705,2017-07-05,2017-07-05,1,short,JJA,2017,2017,True,True,True,True,1,no,
REAL_L010_20170711,2017-07-11,2017-07-21,11,medium,JJA,2017,2017,True,True,True,True,7–14,interpolation_within_range,
REAL_L001_20170802,2017-08-02,2017-08-02,1,short,JJA,2017,2017,True,True,True,True,1,no,
REAL_L001_20170809,2017-08-09,2017-08-09,1,short,JJA,2017,2017,True,True,True,True,1,no,
REAL_L001_20170816,2017-08-16,2017-08-16,1,short,JJA,2017,2017,True,True,True,True,1,no,
REAL_L001_20170823,2017-08-23,2017-08-28,6,short,JJA,2017,2017,True,True,True,True,3–7,interpolation_within_range,
REAL_L001_20170830,2017-08-30,2017-08-30,1,short,JJA,2017,2017,True,True,True,True,1,no,
REAL_L001_20170906,2017-09-06,2017-09-06,1,short,SON,2017,2017,True,True,True,True,1,no,
REAL_L001_20170920,2017-09-20,2017-09-20,1,short,SON,2017,2017,True,True,True,True,1,no,
REAL_L001_20171018,2017-10-18,2017-10-18,1,short,SON,2017,2017,True,True,True,True,1,no,
REAL_L001_20171111,2017-11-11,2017-11-11,1,short,SON,2017,2017,True,True,True,True,1,no,
REAL_L001_20171118,2017-11-18,2017-11-18,1,short,SON,2017,2017,True,True,True,True,1,no,
REAL_L001_20171125,2017-11-25,2017-11-25,1,short,SON,2017,2017,True,True,True,True,1,no,
REAL_L001_20171202,2017-12-02,2017-12-02,1,short,DJF,2017,2017,True,True,True,True,1,no,
REAL_L001_20171209,2017-12-09,2017-12-09,1,short,DJF,2017,2017,True,True,True,True,1,no,
REAL_L001_20171216,2017-12-16,2017-12-16,1,short,DJF,2017,2017,True,True,True,True,1,no,
REAL_L001_20171219,2017-12-19,2017-12-19,1,short,DJF,2017,2017,True,True,True,True,1,no,
REAL_L001_20171229,2017-12-29,2017-12-29,1,short,DJF,2017,2017,True,True,True,True,1,no,
REAL_L001_20180105,2018-01-05,2018-01-05,1,short,DJF,2018,2018,True,True,True,True,1,no,
REAL_L001_20180112,2018-01-12,2018-01-12,1,short,DJF,2018,2018,True,True,True,True,1,no,
REAL_L001_20180119,2018-01-19,2018-01-19,1,short,DJF,2018,2018,True,True,True,True,1,no,
REAL_L001_20180126,2018-01-26,2018-01-26,1,short,DJF,2018,2018,True,True,True,True,1,no,
REAL_L001_20180202,2018-02-02,2018-02-02,1,short,DJF,2018,2018,True,True,True,True,1,no,
REAL_L001_20180209,2018-02-09,2018-02-09,1,short,DJF,2018,2018,True,True,True,True,1,no,
REAL_L001_20180216,2018-02-16,2018-02-16,1,short,DJF,2018,2018,True,True,True,True,1,no,
REAL_L001_20180308,2018-03-08,2018-03-09,2,short,MAM,2018,2018,True,True,True,True,1–3,interpolation_within_range,
REAL_L001_20180316,2018-03-16,2018-03-16,1,short,MAM,2018,2018,True,True,True,True,1,no,
REAL_L001_20180323,2018-03-23,2018-03-23,1,short,MAM,2018,2018,True,True,True,True,1,no,
REAL_L001_20180330,2018-03-30,2018-03-30,1,short,MAM,2018,2018,True,True,True,True,1,no,
REAL_L001_20180406,2018-04-06,2018-04-06,1,short,MAM,2018,2018,True,True,True,True,1,no,
REAL_L001_20180420,2018-04-20,2018-04-20,1,short,MAM,2018,2018,True,True,True,True,1,no,
REAL_L001_20180504,2018-05-04,2018-05-04,1,short,MAM,2018,2018,True,True,True,True,1,no,
REAL_L001_20180511,2018-05-11,2018-05-11,1,short,MAM,2018,2018,True,True,True,True,1,no,
REAL_L001_20180525,2018-05-25,2018-05-25,1,short,MAM,2018,2018,True,True,True,True,1,no,
REAL_L001_20180601,2018-06-01,2018-06-01,1,short,JJA,2018,2018,True,True,True,True,1,no,
REAL_L001_20180608,2018-06-08,2018-06-08,1,short,JJA,2018,2018,True,True,True,True,1,no,
REAL_L001_20180615,2018-06-15,2018-06-15,1,short,JJA,2018,2018,True,True,True,True,1,no,
REAL_L031_20180618,2018-06-18,2018-07-20,33,long,JJA,2018,2018,True,True,True,True,30–?,yes,
REAL_L001_20180727,2018-07-27,2018-07-27,1,short,JJA,2018,2018,True,True,True,True,1,no,
REAL_L001_20180803,2018-08-03,2018-08-03,1,short,JJA,2018,2018,True,True,True,True,1,no,
REAL_L001_20180810,2018-08-10,2018-08-10,1,short,JJA,2018,2018,True,True,True,True,1,no,
REAL_L001_20180817,2018-08-17,2018-08-17,1,short,JJA,2018,2018,True,True,True,True,1,no,
REAL_L001_20180826,2018-08-26,2018-08-26,1,short,JJA,2018,2018,True,True,True,True,1,no,
REAL_L001_20180829,2018-08-29,2018-08-29,1,short,JJA,2018,2018,True,True,True,True,1,no,
REAL_L001_20180905,2018-09-05,2018-09-06,2,short,SON,2018,2018,True,True,True,True,1–3,interpolation_within_range,
REAL_L001_20180913,2018-09-13,2018-09-14,2,short,SON,2018,2018,True,True,True,True,1–3,interpolation_within_range,
REAL_L001_20180920,2018-09-20,2018-09-21,2,short,SON,2018,2018,True,True,True,True,1–3,interpolation_within_range,
REAL_L001_20180927,2018-09-27,2018-09-28,2,short,SON,2018,2018,True,True,True,True,1–3,interpolation_within_range,
REAL_L001_20181004,2018-10-04,2018-10-05,2,short,SON,2018,2018,True,True,True,True,1–3,interpolation_within_range,
REAL_L001_20181011,2018-10-11,2018-10-11,1,short,SON,2018,2018,True,True,True,True,1,no,
REAL_L001_20181023,2018-10-23,2018-10-23,1,short,SON,2018,2018,True,True,True,True,1,no,
REAL_L001_20190109,2019-01-09,2019-01-09,1,short,DJF,2019,2019,True,True,True,True,1,no,
REAL_L001_20190226,2019-02-26,2019-02-28,3,short,DJF,2019,2019,True,True,True,True,3,no,
REAL_L031_20190308,2019-03-08,2019-04-24,48,long,MAM,2019,2019,True,True,True,True,30–?,yes,
REAL_L010_20190429,2019-04-29,2019-05-07,9,medium,MAM,2019,2019,True,True,True,True,7–14,interpolation_within_range,
REAL_L001_20190514,2019-05-14,2019-05-14,1,short,MAM,2019,2019,True,True,True,True,1,no,
REAL_L031_20190824,2019-08-24,2019-10-16,54,long,SON,2019,2019,True,True,True,True,30–?,yes,
REAL_L001_20200113,2020-01-13,2020-01-13,1,short,DJF,2020,2020,True,True,True,True,1,no,
REAL_L091_20200211,2020-02-11,2020-10-23,256,very_long,MAM/JJA/SON,2020,2020,True,True,True,True,30–?,yes,major 2020 sensor gap (2020-02-12 to 2020-10-23); PLV available
REAL_L001_20210422,2021-04-22,2021-04-22,1,short,MAM,2021,2021,True,True,True,True,1,no,
REAL_L010_20210806,2021-08-06,2021-08-30,25,medium,JJA,2021,2021,True,True,True,True,14–30,interpolation_within_range,
REAL_L010_20211013,2021-10-13,2021-10-26,14,medium,SON,2021,2021,True,True,True,True,14,no,
REAL_L001_20220126,2022-01-26,2022-01-26,1,short,DJF,2022,2022,True,True,True,True,1,no,
REAL_L001_20220203,2022-02-03,2022-02-03,1,short,DJF,2022,2022,True,True,True,True,1,no,
REAL_L001_20220409,2022-04-09,2022-04-09,1,short,MAM,2022,2022,True,True,True,True,1,no,
REAL_L001_20220516,2022-05-16,2022-05-16,1,short,MAM,2022,2022,True,True,True,True,1,no,
REAL_L031_20220727,2022-07-27,2022-10-05,71,long,JJA/SON,2022,2022,True,True,True,True,30–?,yes,
REAL_L001_20221219,2022-12-19,2022-12-21,3,short,DJF,2022,2022,True,True,True,True,3,no,
REAL_L031_20230707,2023-07-07,2023-09-08,64,long,JJA/SON,2023,2023,True,True,True,True,30–?,yes,
REAL_L010_20231116,2023-11-16,2023-12-07,22,medium,DJF,2023,2023,True,True,True,True,14–30,interpolation_within_range,
REAL_L001_20240126,2024-01-26,2024-01-26,1,short,DJF,2024,2024,True,True,True,True,1,no,
REAL_L001_20240205,2024-02-05,2024-02-05,1,short,DJF,2024,2024,True,True,True,True,1,no,
REAL_L001_20240209,2024-02-09,2024-02-09,1,short,DJF,2024,2024,True,True,True,True,1,no,
REAL_L031_20240325,2024-03-25,2024-05-06,43,long,MAM,2024,2024,True,True,True,True,30–?,yes,
REAL_L010_20240812,2024-08-12,2024-08-23,12,medium,JJA,2024,2024,True,True,True,True,7–14,interpolation_within_range,
REAL_L031_20250304,2025-03-04,2025-04-04,32,long,MAM,2025,2025,True,True,True,True,30–?,yes,
REAL_L001_20250707,2025-07-07,2025-07-07,1,short,JJA,2025,2025,True,True,True,True,1,no,
REAL_L001_20250714,2025-07-14,2025-07-18,5,short,JJA,2025,2025,True,True,True,True,3–7,interpolation_within_range,
REAL_L001_20250924,2025-09-24,2025-09-26,3,short,SON,2025,2025,True,True,True,True,3,no,
REAL_L001_20260116,2026-01-16,2026-01-16,1,short,DJF,2026,2026,True,True,True,True,1,no,
REAL_OPEN_20260515,2026-05-15,2026-05-31,17,medium,MAM,2026,2026,True,False,False,False,open,open_ended,gap extends to end of available data
